# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20221001-20230630
# ----------------------------------------

Индекс дня,Сеансы
01.10.2022,1 573
02.10.2022,1 624
03.10.2022,2 984
04.10.2022,3 086
05.10.2022,3 015
06.10.2022,3 352
07.10.2022,2 603
08.10.2022,1 621
09.10.2022,1 708
10.10.2022,2 868
11.10.2022,3 187
12.10.2022,4 177
13.10.2022,3 376
14.10.2022,2 944
15.10.2022,1 699
16.10.2022,1 873
17.10.2022,3 409
18.10.2022,3 115
19.10.2022,3 480
20.10.2022,3 101
21.10.2022,2 526
22.10.2022,1 414
23.10.2022,1 609
24.10.2022,2 834
25.10.2022,3 197
26.10.2022,3 128
27.10.2022,2 885
28.10.2022,2 401
29.10.2022,1 466
30.10.2022,1 665
31.10.2022,2 708
01.11.2022,4 243
02.11.2022,3 643
03.11.2022,4 360
04.11.2022,3 656
05.11.2022,1 788
06.11.2022,2 132
07.11.2022,3 559
08.11.2022,4 132
09.11.2022,3 631
10.11.2022,3 195
11.11.2022,2 785
12.11.2022,1 738
13.11.2022,1 860
14.11.2022,3 364
15.11.2022,3 422
16.11.2022,3 545
17.11.2022,3 903
18.11.2022,3 040
19.11.2022,1 761
20.11.2022,1 894
21.11.2022,3 200
22.11.2022,3 341
23.11.2022,2 734
24.11.2022,2 392
25.11.2022,2 336
26.11.2022,1 730
27.11.2022,2 073
28.11.2022,5 971
29.11.2022,3 555
30.11.2022,3 300
01.12.2022,3 524
02.12.2022,3 216
03.12.2022,1 678
04.12.2022,2 040
05.12.2022,3 421
06.12.2022,4 382
07.12.2022,9 068
08.12.2022,5 293
09.12.2022,3 450
10.12.2022,2 318
11.12.2022,2 526
12.12.2022,3 810
13.12.2022,3 346
14.12.2022,3 319
15.12.2022,3 015
16.12.2022,2 614
17.12.2022,1 835
18.12.2022,1 604
19.12.2022,2 856
20.12.2022,2 603
21.12.2022,2 556
22.12.2022,2 292
23.12.2022,1 601
24.12.2022,1 158
25.12.2022,1 300
26.12.2022,1 591
27.12.2022,2 095
28.12.2022,1 987
29.12.2022,1 855
30.12.2022,1 449
31.12.2022,1 109
01.01.2023,1 371
02.01.2023,1 710
03.01.2023,2 743
04.01.2023,2 660
05.01.2023,3 382
06.01.2023,2 429
07.01.2023,1 626
08.01.2023,1 937
09.01.2023,2 888
10.01.2023,2 525
11.01.2023,2 873
12.01.2023,2 596
13.01.2023,2 366
14.01.2023,1 611
15.01.2023,1 867
16.01.2023,2 280
17.01.2023,2 773
18.01.2023,2 820
19.01.2023,2 724
20.01.2023,2 486
21.01.2023,1 530
22.01.2023,1 567
23.01.2023,2 373
24.01.2023,2 377
25.01.2023,2 335
26.01.2023,2 455
27.01.2023,1 952
28.01.2023,1 403
29.01.2023,1 395
30.01.2023,2 520
31.01.2023,3 048
01.02.2023,2 842
02.02.2023,2 743
03.02.2023,2 238
04.02.2023,1 715
05.02.2023,1 803
06.02.2023,2 764
07.02.2023,2 999
08.02.2023,2 706
09.02.2023,2 796
10.02.2023,2 351
11.02.2023,1 456
12.02.2023,1 552
13.02.2023,2 435
14.02.2023,2 231
15.02.2023,2 551
16.02.2023,2 576
17.02.2023,2 087
18.02.2023,1 474
19.02.2023,1 663
20.02.2023,2 192
21.02.2023,2 462
22.02.2023,2 652
23.02.2023,2 594
24.02.2023,2 158
25.02.2023,1 411
26.02.2023,1 678
27.02.2023,2 544
28.02.2023,2 647
01.03.2023,2 382
02.03.2023,2 351
03.03.2023,2 236
04.03.2023,1 505
05.03.2023,1 452
06.03.2023,2 442
07.03.2023,2 470
08.03.2023,2 447
09.03.2023,2 351
10.03.2023,2 233
11.03.2023,1 522
12.03.2023,1 327
13.03.2023,2 510
14.03.2023,2 621
15.03.2023,2 371
16.03.2023,2 377
17.03.2023,2 028
18.03.2023,1 219
19.03.2023,1 396
20.03.2023,2 358
21.03.2023,2 669
22.03.2023,2 526
23.03.2023,2 505
24.03.2023,2 049
25.03.2023,1 279
26.03.2023,1 396
27.03.2023,2 454
28.03.2023,2 457
29.03.2023,2 319
30.03.2023,2 500
31.03.2023,1 995
01.04.2023,1 165
02.04.2023,1 250
03.04.2023,2 240
04.04.2023,2 640
05.04.2023,4 224
06.04.2023,3 032
07.04.2023,2 577
08.04.2023,2 168
09.04.2023,2 314
10.04.2023,3 635
11.04.2023,3 439
12.04.2023,3 605
13.04.2023,2 903
14.04.2023,3 049
15.04.2023,2 140
16.04.2023,1 623
17.04.2023,2 519
18.04.2023,3 234
19.04.2023,2 695
20.04.2023,2 897
21.04.2023,3 105
22.04.2023,1 663
23.04.2023,2 319
24.04.2023,3 141
25.04.2023,3 291
26.04.2023,3 000
27.04.2023,2 812
28.04.2023,2 295
29.04.2023,1 615
30.04.2023,1 657
01.05.2023,2 468
02.05.2023,3 202
03.05.2023,2 808
04.05.2023,2 842
05.05.2023,2 598
06.05.2023,1 981
07.05.2023,2 015
08.05.2023,3 462
09.05.2023,3 419
10.05.2023,3 709
11.05.2023,3 503
12.05.2023,2 648
13.05.2023,1 612
14.05.2023,1 832
15.05.2023,2 925
16.05.2023,2 683
17.05.2023,2 758
18.05.2023,2 893
19.05.2023,2 327
20.05.2023,1 459
21.05.2023,1 682
22.05.2023,3 069
23.05.2023,3 595
24.05.2023,3 162
25.05.2023,2 778
26.05.2023,2 298
27.05.2023,1 427
28.05.2023,1 507
29.05.2023,1 943
30.05.2023,2 811
31.05.2023,2 731
01.06.2023,3 721
02.06.2023,3 333
03.06.2023,2 033
04.06.2023,1 946
05.06.2023,2 729
06.06.2023,2 655
07.06.2023,2 884
08.06.2023,2 725
09.06.2023,2 936
10.06.2023,1 868
11.06.2023,1 453
12.06.2023,2 661
13.06.2023,2 444
14.06.2023,2 380
15.06.2023,2 566
16.06.2023,3 425
17.06.2023,2 399
18.06.2023,3 197
19.06.2023,2 626
20.06.2023,4 125
21.06.2023,5 228
22.06.2023,2 812
23.06.2023,2 485
24.06.2023,2 101
25.06.2023,2 234
26.06.2023,2 774
27.06.2023,3 831
28.06.2023,2 963
29.06.2023,3 258
30.06.2023,3 242
,700 939
